"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
6.7,0.14,"NO",4.6,2,76.11,50.6,140.9,0.12,"SWV"
6.7,0.14,"NO",4.55,2,75.18,50.17,172.2,0.1,"SWV"
6.7,0.12,"NO",7.5,2.6,127.06,78.99,160.4,0.09,"SWV"
6.7,0.12,"Yes",5.75,0.5,104.13,52.62,167.9,0.13,"SWV"
6.7,0.12,"NO",5.25,2.5,85.88,58.9,165.2,0.1,"SWV"
6.7,0.12,"Yes",4.5,0.5,80.54,41.54,143.1,0.13,"SWV"
6.7,0.12,"NO",5.75,0.5,104.13,52.62,165.1,0.12,"SWV"
6.5,0.5,"Yes",3.55,2,56.68,41.48,147.1,0.41,"SWV"
6.5,0.5,"Yes",3.3,2,52.06,39.3,155.7,0.4,"SWV"
6.5,0.5,"NO",3.15,2,49.28,38,203.9,0.39,"SWV"
6.5,0.5,"NO",3.65,2,58.53,42.34,195.9,0.41,"SWV"
6.5,0.12,"NO",4.25,2.5,67.38,50.21,117.1,0.09,"SWV"
6.5,0.51,"Yes",3,1.4,49.2,33.51,160.3,0.45,"SWV"
6.5,0.21,"Yes",4.4,2,72.41,48.86,98.3,0.18,"SWV"
6.5,0.12,"NO",4.1,2.7,63.71,49.97,114.6,0.09,"SWV"
6.5,0.13,"NO",4.65,1.5,79.28,48.38,122.9,0.12,"SWV"
6.5,0.13,"NO",4.65,1.5,79.28,48.38,136.7,0.12,"SWV"
6.5,0.13,"NO",4.65,1.5,79.28,48.38,133.6,0.12,"SWV"
5.9,0.08,"NO",14.8,1.4,267.73,135.78,152.7,0.05,"SWV"
5.9,0.08,"NO",6.15,1.4,107.7,60.62,153.8,0.07,"SWV"
5.9,0.02,"NO",3.3,2,52.06,39.3,158.5,0.02,"SWV"
5.9,0.02,"NO",3.3,2,52.06,39.3,155.7,0.02,"SWV"
5.9,0.02,"NO",3.15,2,49.28,38,203.9,0.02,"SWV"
5.9,0.02,"NO",3.4,2,53.91,40.17,195.9,0.02,"SWV"
