Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
7.9,Yes,1.75,0.5,33.2,20.94,0.36,1,205.8,0.37,0.936430828,0.395,0.783400287,0.251215627
7,Yes,2.35,1,43.4,30.16,0.39,0.98,149.1,0.36,1.101462433,0.327,3.888038984,0.0526919
7,NO,3,1,51,31.38,0.22,0.97,116.9,0.21,1.101462433,0.191,3.010571601,0.047424964
7,NO,4.3,1.4,73.25,44.81,0.28,0.96,144.4,0.2,1.101462433,0.182,1.743907503,0.084470342
7,NO,9,2.7,162.85,101.05,0.28,0.81,171.3,0.2,1.101462433,0.182,0.28155409,0.174018354
7,Yes,4.6,2,76.11,50.6,0.26,0.91,140.9,0.25,1.101462433,0.227,2.809469445,0.062358239
7,Yes,4.55,2,75.18,50.17,0.26,0.77,172.2,0.21,1.101462433,0.191,0.407062815,0.171729219
7,NO,7.5,2.6,127.06,78.99,0.28,0.77,160.4,0.16,1.101462433,0.145,0.027694255,0.157824882
7,NO,5.5,0.5,99.5,50.45,0.23,0.88,171.8,0.36,1.101462433,0.327,2.613896496,0.098908956
7,NO,7.5,2.7,133.9,86.82,0.28,0.61,110.2,0.15,1.101462433,0.136,1.873191462,0.05943127
7,NO,5.25,2.5,85.88,58.9,0.28,0.87,165.2,0.16,1.101462433,0.145,-0.256896811,0.181661248
7,NO,4.5,0.5,80.54,41.54,0.23,0.87,143.1,0.26,1.101462433,0.236,2.864314723,0.063118224
7,NO,5.75,0.5,104.13,52.62,0.23,0.79,165.1,0.25,1.101462433,0.227,1.552672889,0.116054594
7.8,Yes,7.6,2,131.61,76.67,0.4,0.85,159.3,0.13,0.952577463,0.136,-0.162545304,0.140874805
7.8,NO,6,1,106.5,57.45,0.4,0.68,127.9,0.12,0.952577463,0.126,0.9652695,0.074471202
7.8,NO,4,1,69.5,40.07,0.4,0.92,139.5,0.14,0.952577463,0.147,1.109292677,0.080913485
7.8,NO,4.5,1.6,76.12,47.53,0.4,0.92,197.6,0.13,0.952577463,0.136,-2.801651208,0.519172108
7.8,NO,6.15,1.5,107.03,61.41,0.4,0.87,134.8,0.14,0.952577463,0.147,1.318371992,0.072969692
7.8,Yes,9,2,157.51,88.84,0.4,0.79,164.1,0.13,0.952577463,0.136,-0.43468129,0.161156079
7.8,NO,2.55,1.5,40.43,30.13,0.4,0.97,161.8,0.12,0.952577463,0.126,-0.647153091,0.165230863
7.8,Yes,6,2,102.01,62.77,0.4,0.88,126.6,0.13,0.952577463,0.136,1.339394894,0.067057184
7.8,NO,3,2,46.51,36.7,0.4,0.85,125.2,0.1,0.952577463,0.105,0.317802982,0.085464217
7.8,NO,6.5,1,115.75,61.8,0.09,0.62,109.9,0.05,0.952577463,0.052,-1.981988837,0.133167841
7.1,NO,6.5,1,115.75,61.8,0.13,0.62,109.9,0.05,1.080693539,0.046,-2.493643974,0.171484534
6.6,Yes,5,2.4,87.6,43.46,0.68,0.77,157.8,0.58,1.191964435,0.487,5.051376175,0.04777071
6.6,Yes,3.5,2.4,62.04,29.67,0.68,0.85,136.7,0.68,1.191964435,0.570,6.710314633,0.024669212
6.5,Yes,5.5,2.4,97.08,47.05,0.33,0.76,191,0.28,1.216638441,0.230,-0.162489488,0.303414287
6.5,Yes,5.5,2.4,97.08,47.05,0.33,0.76,193.4,0.28,1.216638441,0.230,-0.350296166,0.332926449
9,Yes,4.6,2.4,79.01,53.5,0.27,0.93,139,0.29,0.786136229,0.369,4.862693333,0.026219961
9,Yes,4.55,2.4,78.06,53.04,0.27,0.81,139.5,0.25,0.786136229,0.318,4.240025099,0.030748813
7.4,Yes,2.9,2.4,50.9,32.26,0.4,0.97,169.6,0.39,1.022309252,0.381,3.370008673,0.073739465
7.4,Yes,7.5,2.4,131.17,84.08,0.76,0.54,111.1,0.4,1.022309252,0.391,6.117864519,0.019447976
7.4,Yes,9,2.4,159.67,97.86,0.36,0.8,172.7,0.3,1.022309252,0.293,2.134326936,0.104470309
7.4,Yes,4.5,2.4,82.93,43.93,0.4,0.86,141.2,0.41,1.022309252,0.401,5.097322658,0.033010739
7.4,Yes,5.75,2.4,107.15,55.65,0.4,0.78,162.8,0.38,1.022309252,0.372,3.685720397,0.061468438
7.4,Yes,6,2.4,107.15,55.65,0.2,0.87,165.6,0.42,1.022309252,0.411,3.925709303,0.06033993
7.4,Yes,7.5,2.4,131.59,83.52,0.76,0.72,158.2,0.54,1.022309252,0.528,5.376226347,0.037879053
7.4,Yes,4.3,2.4,75.82,47.38,0.76,0.95,142.5,0.73,1.022309252,0.714,7.374437863,0.019072899
7.4,Yes,4.6,2.4,79.01,53.5,0.38,0.91,139,0.32,1.022309252,0.313,4.195901842,0.040226225
7.4,Yes,4.55,2.4,78.06,53.04,0.38,0.76,169.9,0.27,1.022309252,0.264,1.873447331,0.106962759
