Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
6,NO,14.8,1.4,267.73,135.78,0.06,0.52,152.7,0.04,1.354603773,0.030,-5.993251429,0.773566497
6,NO,6.15,1.4,107.7,60.62,0.06,0.81,153.8,0.06,1.354603773,0.044,-4.426351961,0.534881451
6.5,NO,9.1,6.2,140.47,112.02,0.1,0.69,110.8,0.06,1.216638441,0.049,-2.249986527,0.182433963
6.5,NO,3.3,2,52.06,39.3,0.18,0.93,158.5,0.14,1.216638441,0.115,-0.824076484,0.210384704
6.5,NO,3.3,2,52.06,39.3,0.18,0.93,155.7,0.14,1.216638441,0.115,-0.671696911,0.195121999
6.5,NO,3.15,2,49.28,38,0.18,0.93,203.9,0.14,1.216638441,0.115,-4.031690621,1.026883492
6.5,NO,3.15,2,49.28,38,0.18,0.93,211.7,0.14,1.216638441,0.115,-4.734229359,1.453180293
6.5,NO,3.25,2.5,48.88,41.52,0.15,0.93,117.1,0.11,1.216638441,0.090,-0.009949375,0.110542249
6.5,NO,3.15,1.4,51.98,34.81,0.19,0.93,146,0.17,1.216638441,0.140,0.602251332,0.126234207
6.5,NO,3.35,2.7,49.83,43.46,0.15,0.93,99.4,0.1,1.216638441,0.082,0.098605174,0.095243342
6.5,NO,3.35,2.7,49.83,43.46,0.15,0.93,114.6,0.1,1.216638441,0.082,-0.316082196,0.116908562
6.5,Yes,4.65,1.5,79.28,48.38,0.2,0.88,122.9,0.19,1.216638441,0.156,2.010505468,0.070340138
6.5,Yes,4.65,1.5,79.28,48.38,0.2,0.88,136.7,0.19,1.216638441,0.156,1.477636205,0.091533987
6.5,Yes,4.65,1.5,79.28,48.38,0.2,0.88,133.6,0.19,1.216638441,0.156,1.606287961,0.085894939
5.9,NO,3.3,2,52.06,39.3,0.03,0.93,158.5,0.02,1.385504241,0.014,-9.225361106,1.910876322
5.9,NO,3.3,2,52.06,39.3,0.03,0.93,155.7,0.02,1.385504241,0.014,-9.072981533,1.772248647
5.9,NO,3.15,2,49.28,38,0.03,0.93,203.9,0.02,1.385504241,0.014,-12.43297524,9.326948741
5.9,NO,3.15,2,49.28,38,0.03,0.93,211.7,0.02,1.385504241,0.014,-13.13551398,13.19890543
5.9,NO,4.25,2.5,67.38,50.21,0.15,0.89,117.1,0.12,1.385504241,0.087,-0.180943551,0.131226143
5.9,NO,3.15,1.4,51.98,34.81,0.05,0.93,146,0.05,1.385504241,0.036,-4.876857869,0.556898888
5.9,NO,4.4,2,72.41,48.86,0.11,0.89,98.3,0.09,1.385504241,0.065,-0.826350123,0.135399377
5.9,NO,4.1,2.7,63.71,49.97,0.1,0.9,114.6,0.07,1.385504241,0.051,-2.283526998,0.216397315
5.9,NO,4.65,1.5,79.28,48.38,0.12,0.88,122.9,0.11,1.385504241,0.079,-0.728131831,0.157646565
5.9,NO,4.65,1.5,79.28,48.38,0.12,0.88,136.7,0.11,1.385504241,0.079,-1.261001094,0.205146294
5.9,NO,4.65,1.5,79.28,48.38,0.12,0.88,133.6,0.11,1.385504241,0.079,-1.132349338,0.19250804
7,Yes,6.455,3.5,107.96,78.97,0.38,0.77,182.1,0.26,1.101462433,0.236,0.611638119,0.19217046
7,Yes,7.4,5,119.61,96.07,0.34,0.8,166.4,0.22,1.101462433,0.200,0.969860987,0.136221057
7,Yes,7.4,5.6,117.1,99.44,0.4,0.65,134.8,0.2,1.101462433,0.182,2.182767401,0.067999228
7,NO,6.205,6.2,81.86,81.86,0.4,0.81,166.2,0.21,1.101462433,0.191,0.790377726,0.142090987
7,NO,5.45,3.5,81.31,62.18,0.38,0.79,187,0.26,1.101462433,0.236,0.250315365,0.229743763
7,NO,5,2.4,78.49,52.98,0.26,0.8,153.1,0.2,1.101462433,0.182,1.318166643,0.104252998
7,NO,3.65,1.8,59.43,41.28,0.26,0.84,159,0.2,1.101462433,0.182,0.9957777,0.122261184
7,Yes,3.15,1.5,51.44,35.3,0.47,0.97,222.9,0.43,1.101462433,0.390,-0.885086436,0.665963193
7,Yes,8.055,3,135.53,85.94,0.21,0.88,182.4,0.19,1.101462433,0.172,-0.677193123,0.265528749
7,Yes,4.305,2.1,70.2,48.57,0.21,0.8,124.6,0.16,1.101462433,0.145,1.658240748,0.070498912
7,Yes,7.5,1.8,130.66,74.74,0.21,0.63,135.1,0.15,1.101462433,0.136,1.000344235,0.091489165
7,Yes,4.105,1.9,67.4,45.77,0.24,0.84,147.1,0.19,1.101462433,0.172,1.408407933,0.094720083
7,Yes,8.055,1.4,138.27,72.99,0.25,0.69,151.1,0.21,1.101462433,0.191,1.624878105,0.094068223
7,Yes,2.855,1.2,45.63,29.4,0.25,0.93,151.3,0.23,1.101462433,0.209,1.9641239,0.087123066
7,NO,4.155,1.5,67.59,41.55,0.25,0.96,206.3,0.25,1.101462433,0.227,-1.491431851,0.522483322
7,NO,8.9,6.4,129.5,104.97,0.11,0.68,157.6,0.06,1.101462433,0.054,-3.779740481,0.388565169
7,Yes,8.35,1.4,148.18,80,0.14,0.74,144.2,0.12,1.101462433,0.109,-0.301917873,0.139311582
7,Yes,8.35,1.4,148.18,80,0.14,0.74,147.7,0.12,1.101462433,0.109,-0.468741886,0.151284912
7,Yes,8.35,1.4,148.18,80,0.14,0.74,132.8,0.12,1.101462433,0.109,0.19270523,0.109098181
7,Yes,8.35,1.4,148.18,80,0.14,0.74,132.4,0.12,1.101462433,0.109,0.2087451,0.108236712
7,Yes,6.75,5,107.26,90.1,0.46,0.67,145.6,0.24,1.101462433,0.218,2.439539233,0.071873657
7,Yes,7,4.7,113.27,90.71,0.41,0.6,129.3,0.2,1.101462433,0.182,2.399801823,0.061082674
7,Yes,8.7,3,152.71,96.79,0.41,0.64,147.5,0.27,1.101462433,0.245,2.826401075,0.066785666
7,Yes,7.4,4.9,119.99,95.57,0.46,0.7,157.6,0.26,1.101462433,0.236,2.151977467,0.089754519
7,NO,4.75,2.4,77.08,54.03,0.19,0.88,172,0.16,1.101462433,0.145,-0.678985706,0.223801352
7,Yes,6.65,4.2,108.72,84.69,0.36,0.76,164.1,0.23,1.101462433,0.209,1.284248583,0.121917718
7,Yes,7.5,4.8,122.35,95.87,0.36,0.71,162.6,0.21,1.101462433,0.191,1.00624961,0.127711535
7,Yes,3.405,1.8,54.9,39.15,0.22,0.85,146.7,0.17,1.101462433,0.154,0.974397437,0.105025981
7,Yes,4.5,1.9,77.43,51.97,0.36,0.69,126.4,0.24,1.101462433,0.218,3.235011248,0.048509132
7,NO,3.205,2.1,52.08,41.24,0.22,0.86,143.6,0.16,1.101462433,0.145,0.876447593,0.103751054
7,NO,3.45,2.5,55.06,45.74,0.22,0.78,124.1,0.13,1.101462433,0.118,0.834635026,0.086057923
7,Yes,4.5,1.9,77.43,51.97,0.22,0.79,136.6,0.17,1.101462433,0.154,1.436515534,0.083580345
7,Yes,4.5,2.4,75.43,54.83,0.26,0.8,124,0.19,1.101462433,0.172,2.377557817,0.058670025
7,Yes,4.05,2.4,66.88,50.69,0.26,0.8,125,0.18,1.101462433,0.163,2.121357956,0.063085259
7,NO,4.155,1.5,67.59,41.55,0.25,0.94,219,0.25,1.101462433,0.227,-2.683997971,0.942006743
7,NO,4.155,1.5,67.59,41.55,0.25,0.97,239.6,0.26,1.101462433,0.236,-4.741591304,2.708601012
7,NO,9.85,6,155.24,117.47,0.15,0.68,172.1,0.09,1.101462433,0.082,-2.997664173,0.395990022
7,NO,8.75,6,134.89,107.92,0.15,0.72,154.9,0.09,1.101462433,0.082,-1.992914708,0.241000019
7,NO,4,1.8,65.77,44.48,0.42,0.9,204.9,0.36,1.101462433,0.327,0.109220538,0.341081813
7,Yes,2.2,1.2,35.21,25.6,0.42,0.96,135.8,0.36,1.101462433,0.327,4.49177542,0.039097881
7,Yes,2.6,0.6,45.4,25.78,0.42,0.95,141.9,0.46,1.101462433,0.418,5.218031944,0.034891469
7,Yes,3.25,2.1,50.68,39.4,0.42,0.93,209.7,0.33,1.101462433,0.300,-0.675811635,0.460866728
7,NO,2.15,1.8,31.55,28.41,0.42,0.96,175.2,0.29,1.101462433,0.263,1.505842904,0.137775589
7,Yes,8.35,1.4,152.77,84.59,0.14,0.74,142.4,0.12,1.101462433,0.109,-0.217761525,0.133635935
7,Yes,4.6,0.8,83.95,46.72,0.22,0.89,160.5,0.23,1.101462433,0.209,1.479756382,0.110688251
7,Yes,6.055,5.3,88.18,80.78,0.33,0.79,144.1,0.19,1.101462433,0.172,1.562476785,0.087775143
7,NO,5.255,4.2,74.44,64.09,0.13,0.78,153.6,0.08,1.101462433,0.073,-2.411808887,0.263499156
7,Yes,8.35,1.4,148.18,80,0.14,0.74,140.6,0.12,1.101462433,0.109,-0.137770654,0.128455706
7,Yes,3.8,1.9,61.76,43.12,0.25,0.92,168,0.21,1.101462433,0.191,0.667708636,0.150972264
7,Yes,3.2,1.8,51.11,37.37,0.25,0.93,154.8,0.21,1.101462433,0.191,1.41921342,0.104133003
7,Yes,5.85,2.3,97.88,63.06,0.25,0.84,188,0.21,1.101462433,0.191,-0.688479361,0.295120793
7,Yes,2.85,1.8,44.63,34.33,0.25,0.94,145.7,0.2,1.101462433,0.182,1.677148155,0.08730397
7,Yes,4.5,1.7,75.61,48.14,0.25,0.89,172,0.23,1.101462433,0.209,0.787163957,0.155870849
7,Yes,3.3,1.2,55.65,35.05,0.25,0.93,152,0.24,1.101462433,0.218,2.104216307,0.084829331
7,Yes,4.55,2.7,72.03,53.88,0.15,0.89,147.6,0.12,1.101462433,0.109,-0.472012324,0.151529646
7,NO,7.2,1.5,126.45,70.54,0.13,0.79,168.9,0.12,1.101462433,0.109,-1.64222368,0.270197166
7,Yes,5.75,2.4,95.58,62.72,0.15,0.85,147.9,0.13,1.101462433,0.118,-0.159603545,0.140670129
7,Yes,4,1.4,67.7,42.2,0.14,0.91,162.8,0.13,1.101462433,0.118,-0.962866328,0.209228287
7,Yes,4.55,2.7,72.03,53.88,0.15,0.89,148.4,0.12,1.101462433,0.109,-0.511112312,0.154486428
7.6,Yes,2.55,1.5,40.43,30.13,0.4,0.97,161.8,0.34,0.986369008,0.345,3.425827961,0.06253639
7.6,Yes,7.6,2,131.61,76.67,0.4,0.83,159.3,0.37,0.986369008,0.375,3.92870476,0.053077965
7.6,Yes,2.75,1,46.38,29.21,0.4,0.88,118.5,0.36,0.986369008,0.365,5.585920135,0.022766568
7.6,Yes,6,1,106.5,57.45,0.4,0.66,127.9,0.32,0.986369008,0.324,4.79292821,0.029947387
7.6,Yes,4,1,69.5,40.07,0.4,0.91,139.5,0.41,0.986369008,0.416,5.31605713,0.029628141
7.6,Yes,4.5,1.6,76.12,47.53,0.46,0.91,197.6,0.44,0.986369008,0.446,1.990756621,0.164490696
7.6,Yes,6.15,1.5,107.03,61.41,0.4,0.86,134.8,0.39,0.986369008,0.395,5.322765311,0.02808958
7.6,Yes,9,2,157.51,88.84,0.4,0.77,164.1,0.35,0.986369008,0.355,3.431700963,0.064189104
7.7,Yes,7,2,120.51,71.46,0.14,0.7,148.4,0.11,0.969216292,0.113,-0.33877069,0.130049605
7.7,Yes,4.75,2,78.88,51.9,0.14,0.8,122.5,0.11,0.969216292,0.113,0.736149394,0.076450426
7.7,Yes,6.5,3,106.76,72.42,0.14,0.81,157.8,0.11,0.969216292,0.113,-0.826937503,0.165536177
7.7,Yes,6.5,2,111.26,67.11,0.14,0.7,142.5,0.1,0.969216292,0.103,-0.446241019,0.124676502
7.7,Yes,6.35,2,108.48,65.81,0.16,0.88,166.1,0.15,0.969216292,0.155,-0.051030073,0.153831313
7.7,NO,7.5,2,129.76,75.8,0.14,0.9,209.9,0.14,0.969216292,0.144,-3.631780498,0.842716277
7.7,Yes,4.8,3,75.31,57.65,0.14,0.96,138.8,0.11,0.969216292,0.113,0.101302805,0.104628084
7.7,Yes,1.75,1,27.88,20.52,0.19,0.98,81.7,0.16,0.969216292,0.165,3.264835693,0.031866216
7.7,Yes,4.35,0.7,77.33,41.52,0.19,0.92,105.6,0.21,0.969216292,0.217,3.86545879,0.031081891
7.7,Yes,6.25,2.5,104.38,67.59,0.22,0.88,174.9,0.19,0.969216292,0.196,0.351027106,0.159737336
7.7,Yes,6.25,2.5,104.38,67.59,0.22,0.89,184,0.2,0.969216292,0.206,-0.070791469,0.207121519
7.7,Yes,6.25,2.5,104.38,67.59,0.22,0.88,161.7,0.2,0.969216292,0.206,1.372098032,0.101510812
7.7,Yes,3,1,51,31.38,0.18,0.93,153.3,0.18,0.969216292,0.186,1.389259619,0.090588093
7.7,NO,5,1.5,85.75,51.42,0.18,0.82,174.3,0.16,0.969216292,0.165,-0.310514152,0.186539639
7.7,Yes,2,0.5,34.75,20.04,0.5,0.88,120.8,0.49,0.969216292,0.506,6.820214027,0.016836538
7.7,Yes,1.45,0.9,22.78,17.38,0.29,0.99,155.3,0.24,0.969216292,0.248,2.435851846,0.072004765
7.7,Yes,1.65,0.5,28.28,16.99,0.18,0.97,153.7,0.19,0.969216292,0.196,1.574538287,0.087253443
7.7,Yes,2.7,0.5,47.7,26.12,0.18,0.95,139.6,0.21,0.969216292,0.217,2.666620089,0.056212825
7.7,Yes,6,0.5,108.75,54.8,0.25,0.75,134.1,0.24,0.969216292,0.248,3.455685343,0.043496701
7.7,Yes,5,2,83.51,54.08,0.5,0.97,188.5,0.49,0.969216292,0.506,3.217953307,0.099877989
7.7,Yes,3,2,46.51,36.7,0.29,0.98,123.1,0.23,0.969216292,0.237,3.692815541,0.037074342
7.7,Yes,3.25,1,55.63,33.56,0.29,0.96,151.5,0.3,0.969216292,0.310,3.550480999,0.051882233
7.7,Yes,5.45,2,91.83,57.99,0.5,0.99,213,0.51,0.969216292,0.526,1.305906587,0.267460914
7.7,Yes,4.5,0.5,81,41.76,0.25,0.9,111,0.28,0.969216292,0.289,4.879303125,0.02510885
7.7,Yes,4.5,0.5,81,41.76,0.25,0.9,111,0.28,0.969216292,0.289,4.879303125,0.02510885
7.7,NO,5.05,2.5,82.18,57.17,0.14,0.92,207.8,0.12,0.969216292,0.124,-4.070515338,0.897238744
7.7,Yes,6,0.5,108.75,54.8,0.5,0.62,133.6,0.4,0.969216292,0.413,5.543173302,0.025836315
7,NO,10.4,2,183.41,101,0.12,0.66,168.4,0.09,1.101462433,0.082,-2.768043898,0.353505991
7,Yes,8.7,2.4,150.16,88.35,0.5,0.68,156.9,0.38,1.101462433,0.345,3.724154955,0.060311799
7,Yes,8.7,2.4,150.16,88.35,0.5,0.68,153.3,0.38,1.101462433,0.345,3.915604781,0.054866596
7,NO,9,7,135.05,115.4,0.4,0.68,155.8,0.21,1.101462433,0.191,1.389122841,0.105693253
7,Yes,4.8,2.5,77.56,54.99,0.2,0.88,124.3,0.16,1.101462433,0.145,1.671527552,0.070037467
7,Yes,5.8,4,89.31,71.65,0.5,0.85,198.8,0.34,1.101462433,0.309,0.409136049,0.277753029
7,Yes,5.5,2.8,89.16,62.67,0.5,0.72,149.1,0.33,1.101462433,0.300,3.550996744,0.057055911
7,Yes,10.25,1.4,183.33,96.51,0.55,0.55,158.8,0.37,1.101462433,0.336,3.513768259,0.065159754
7,Yes,10,1,180.5,92.21,0.5,0.62,183,0.39,1.101462433,0.354,2.191388986,0.132034672
7,Yes,7,3,116.01,76.77,0.5,0.87,193.8,0.43,1.101462433,0.390,1.767290934,0.179524412
7,Yes,9.5,3,162.26,98.49,0.5,0.64,169.9,0.34,1.101462433,0.309,2.516639365,0.098013987
7,Yes,6.05,2.2,102.03,64.26,0.5,0.82,211.2,0.42,1.101462433,0.381,0.171928718,0.385784865
7,Yes,9,5.8,140.42,109.03,0.6,0.9,197.3,0.45,1.101462433,0.409,1.675934452,0.196551803
7,NO,6,4,93.01,73.39,0.5,0.92,230.7,0.38,1.101462433,0.345,-2.192668015,1.123142218
7,NO,6.5,6,93.27,88.36,0.6,0.88,205.5,0.36,1.101462433,0.327,0.07052537,0.347667738
7,NO,6.15,2,104.78,64.07,0.6,0.84,211.6,0.54,1.101462433,0.490,1.151675084,0.305625331
7,Yes,5.25,2,88.36,55.98,0.6,0.87,197,0.54,1.101462433,0.490,2.424565391,0.162916985
7,Yes,7.15,2.5,121.03,75.42,0.6,0.76,209.3,0.48,1.101462433,0.436,0.890339154,0.309123471
7,Yes,7.8,2.9,131.26,83.19,0.6,0.71,199.1,0.44,1.101462433,0.399,1.430554856,0.216963841
7,NO,6.8,2,117.03,69.45,0.6,0.89,242.5,0.58,1.101462433,0.527,-1.825483476,1.429762266
7,Yes,7.65,2,132.53,77.1,0.6,0.81,206.2,0.54,1.101462433,0.490,1.646484305,0.23932038
7,NO,4.5,2.1,73.81,50.26,0.6,0.92,206.4,0.53,1.101462433,0.481,1.544257528,0.247061194
7,NO,4.9,2,81.66,53.21,0.6,0.91,224.5,0.55,1.101462433,0.499,-0.045204549,0.562426457
7,NO,4.9,2,81.66,53.21,0.6,0.91,224.5,0.55,1.101462433,0.499,-0.045204549,0.562426457
7,Yes,6.25,3.2,101.23,71.31,0.5,0.9,181.4,0.42,1.101462433,0.381,2.599697828,0.116206419
7,Yes,8,2,139.01,80.15,0.5,0.9,217.9,0.51,1.101462433,0.463,0.322934934,0.434763357
7,Yes,4.25,1.5,71.88,44.9,0.5,0.89,168.5,0.46,1.101462433,0.418,3.810754084,0.06995008
7,Yes,9,2.5,155.26,91.49,0.52,0.79,190.7,0.45,1.101462433,0.409,2.197568035,0.151883145
7,Yes,18,3.7,316.36,176.08,0.5,0.71,188.2,0.42,1.101462433,0.381,2.122480622,0.147117284
7,Yes,7.7,3.7,126,86.35,0.5,0.82,181.3,0.39,1.101462433,0.354,2.310801341,0.124467625
7,Yes,7.5,1.5,132,73.14,0.5,0.87,215.6,0.51,1.101462433,0.463,0.544538782,0.389660314
7,Yes,3.95,3,59.58,50.26,0.35,0.94,159,0.25,1.101462433,0.227,1.902797832,0.097613261
7,Yes,4.5,2.6,71.56,52.92,0.52,0.93,182.4,0.43,1.101462433,0.390,2.617913923,0.117906906
7,Yes,6.3,2.5,105.31,68.03,0.5,0.89,190.5,0.45,1.101462433,0.409,2.206885216,0.151185336
7,Yes,6,2.3,100.66,64.36,0.5,0.89,190.7,0.45,1.101462433,0.409,2.190327029,0.152427682
7,Yes,3.2,2.3,48.86,40.03,0.5,0.94,206.7,0.37,1.101462433,0.336,0.05861065,0.359435595
7,Yes,5,4,74.51,64.7,0.6,0.92,197.2,0.41,1.101462433,0.372,1.296692823,0.215998989
7,Yes,9.15,2.9,156.23,94.92,0.6,0.74,192,0.48,1.101462433,0.436,2.358566872,0.149616769
7,Yes,2.5,1,41.75,27.04,0.5,0.97,173.2,0.49,1.101462433,0.445,3.758458354,0.076463051
7,Yes,7.5,0.7,135.6,68.89,0.6,0.61,142.8,0.47,1.101462433,0.427,5.284283752,0.03450154
7,Yes,6.5,1.6,113.05,64.99,0.6,0.7,158.7,0.48,1.101462433,0.436,4.564429731,0.050291765
7,Yes,2.5,1,41.75,27.04,0.6,0.93,205.8,0.56,1.101462433,0.508,1.807543219,0.229193884
7,Yes,5,2.4,81.71,56.2,0.6,0.78,180.6,0.44,1.101462433,0.399,2.839228054,0.1081481
7,Yes,8.2,3.5,135.96,89.85,0.5,0.65,166.4,0.32,1.101462433,0.291,2.484709794,0.09371578
7,Yes,5,1.7,84.86,52.48,0.6,0.76,160.5,0.48,1.101462433,0.436,4.459245663,0.052975418
7,Yes,6.75,2,115.88,69.28,0.6,0.75,168.2,0.49,1.101462433,0.445,4.093833113,0.064783469
7,Yes,6,1.5,104.25,60.11,0.5,0.75,145.3,0.43,1.101462433,0.390,4.805165321,0.039999149
7,Yes,7,2.1,120.28,71.72,0.5,0.69,162.8,0.37,1.101462433,0.336,3.280646394,0.073117024
7,Yes,6.5,1.2,114.85,62.86,0.6,0.7,166.2,0.5,1.101462433,0.454,4.295350715,0.059838794
7,Yes,7,0.5,127.25,63.49,0.5,0.76,175.1,0.5,1.101462433,0.454,3.733298633,0.078999806
7,Yes,3.35,2,52.98,39.74,0.4,0.89,161,0.31,1.101462433,0.281,2.655941419,0.083419958
7,Yes,5.3,2.1,88.83,56.95,0.5,0.83,175.5,0.42,1.101462433,0.381,2.999006527,0.095393641
7,Yes,6.5,1.5,113.5,64.45,0.6,0.67,151.6,0.46,1.101462433,0.418,4.7698733,0.043542712
7,Yes,5.5,2.1,92.53,58.69,0.6,0.76,165.1,0.47,1.101462433,0.427,4.109411694,0.061662634
7,Yes,5.25,3,83.63,61.56,0.6,0.73,140.2,0.39,1.101462433,0.354,4.644135494,0.039283628
7,Yes,5.75,2.5,95.13,63.25,0.6,0.72,153.1,0.42,1.101462433,0.381,4.324122478,0.049554868
7,Yes,5.5,2.5,90.51,61.08,0.6,0.64,124.5,0.37,1.101462433,0.336,5.058906491,0.030361209
7,Yes,6.15,3.1,100.06,69.65,0.6,0.83,189.2,0.46,1.101462433,0.418,2.395807785,0.140767757
7,Yes,7.5,4,120.76,86.43,0.5,0.82,178.7,0.37,1.101462433,0.336,2.278584693,0.11997997
7,Yes,9.5,4,157.76,103.81,0.5,0.79,184.1,0.39,1.101462433,0.354,2.114602085,0.137141888
7,Yes,8,3.9,130.46,90.24,0.5,0.62,152.7,0.29,1.101462433,0.263,2.853422687,0.07078111
7,Yes,3.25,2.5,48.88,41.52,0.4,1,205.1,0.31,1.101462433,0.281,-0.514866668,0.399831165
7,NO,3.55,3,52.09,46.74,0.4,1,240.9,0.29,1.101462433,0.263,-4.449333941,2.614793004
7,Yes,18.5,2.4,331.68,173.25,0.4,0.74,199.7,0.37,1.101462433,0.336,0.69433293,0.262521426
7,NO,4.85,3.5,73.99,60.74,0.4,1,271.5,0.32,1.101462433,0.291,-8.067326519,17.24976155
7,NO,16,3.5,280.26,157.64,0.4,0.98,280.4,0.45,1.101462433,0.409,-8.004161426,23.51188177
7,NO,9,2.2,156.61,89.9,0.4,0.99,256.3,0.45,1.101462433,0.409,-4.573892148,4.315071172
7,NO,6.5,3.5,104.51,75.08,0.4,0.99,298.2,0.36,1.101462433,0.327,-11.83231933,124.7621015
7,NO,10.5,2.2,184.36,102.93,0.4,0.98,240.7,0.46,1.101462433,0.418,-2.542721897,1.616394074
7,NO,5.85,3.5,92.49,69.43,0.4,0.99,271.4,0.34,1.101462433,0.309,-7.804678524,16.09664053
7,Yes,6.85,3.5,110.99,78.12,0.34,0.9,199.8,0.28,1.101462433,0.254,-0.458287349,0.351178855
